repo,avg_commits_per_week
django/django,18.52
pallets/werkzeug,1.87
encode/starlette,2.77
fastapi/fastapi,17.62
pandas-dev/pandas,32.06
numpy/numpy,54.44
scikit-learn/scikit-learn,34
matplotlib/matplotlib,43.58
pytorch/pytorch,289.46
tensorflow/tensorflow,287.54
huggingface/transformers,73.44
dask/dask,11.42
statsmodels/statsmodels,6.73
seaborn/seaborn,0
psf/requests,0.85
kennethreitz/certifi,1.02
pyinstaller/pyinstaller,9.19
ansible/ansible,12
fabric/fabric,0
pytest-dev/pytest,16.58
tox-dev/tox,2.5
python/mypy,14.44
pypa/pip,12.75
pypa/setuptools,29.33
psf/black,2.63
scipy/scipy,59.81
sympy/sympy,41.96
biopython/biopython,4.96
paramiko/paramiko,0.35
scrapy/scrapy,7.37
urllib3/urllib3,2.06
python-telegram-bot/python-telegram-bot,3.75
pypa/virtualenv,2.02
cookiecutter/cookiecutter,0.35
psycopg/psycopg2,0.87
sqlalchemy/sqlalchemy,9.25
celery/celery,7.38
boto/boto3,10.46
home-assistant/core,355.04
saltstack/salt,28.21
jupyter/notebook,2.33
python-poetry/poetry,6.62
rq/rq,1.62
pyca/cryptography,31.96
arrow-py/arrow,0.46
gitpython-developers/GitPython,3.54
redis/redis-py,2.92
