repo,open_issues_latest,closed_issues_latest,total_issues_latest
django/django,0,0,0
flask/flask,error,error,error
pallets/werkzeug,7,993,1000
encode/starlette,20,724,744
fastapi/fastapi,38,962,1000
pandas-dev/pandas,432,568,1000
numpy/numpy,289,711,1000
scikit-learn/scikit-learn,274,726,1000
matplotlib/matplotlib,348,652,1000
pytorch/pytorch,680,320,1000
tensorflow/tensorflow,287,713,1000
huggingface/transformers,292,708,1000
dask/dask,389,611,1000
statsmodels/statsmodels,666,334,1000
seaborn/seaborn,0,0,0
psf/requests,110,890,1000
kennethreitz/certifi,4,147,151
pyinstaller/pyinstaller,55,945,1000
ansible/ansible,192,808,1000
fabric/fabric,342,658,1000
pytest-dev/pytest,271,729,1000
tox-dev/tox,117,883,1000
python/mypy,533,467,1000
pypa/pip,296,704,1000
pypa/setuptools,284,716,1000
psf/black,215,785,1000
flake8/flake8,error,error,error
scipy/scipy,297,703,1000
sympy/sympy,539,461,1000
biopython/biopython,299,701,1000
paramiko/paramiko,622,378,1000
scrapy/scrapy,189,811,1000
urllib3/urllib3,103,897,1000
python-telegram-bot/python-telegram-bot,15,985,1000
pypa/virtualenv,30,970,1000
click-contrib/click,error,error,error
theacodes/coveragepy,error,error,error
cookiecutter/cookiecutter,223,654,877
psycopg/psycopg2,18,982,1000
sqlalchemy/sqlalchemy,110,890,1000
celery/celery,410,590,1000
boto/boto3,110,890,1000
home-assistant/core,531,469,1000
saltstack/salt,515,485,1000
jupyter/notebook,383,617,1000
python-poetry/poetry,162,838,1000
rq/rq,204,796,1000
pyca/cryptography,29,971,1000
arrow-py/arrow,88,406,494
pendulum/pendulum,error,error,error
gitpython-developers/GitPython,166,834,1000
redis/redis-py,174,826,1000
